figure,scenario,year,label,cost_ntd_per_tco2
A,Conservative,2025,Buses,31847.899125256856
A,Conservative,2026,Buses,29590.01841846631
A,Conservative,2027,Buses,27623.050120437056
A,Conservative,2028,Buses,25894.17390299667
A,Conservative,2029,Buses,24362.62697909401
A,Conservative,2030,Buses,22996.449310912132
A,Conservative,2031,Buses,22187.592073691252
A,Conservative,2032,Buses,21431.580387772625
A,Conservative,2033,Buses,20723.399194284866
A,Conservative,2034,Buses,20058.648550274494
A,Conservative,2035,Buses,19433.452126611257
A,Conservative,2036,Buses,18851.237195766716
A,Conservative,2037,Buses,18301.719835007865
A,Conservative,2038,Buses,17782.2208030247
A,Conservative,2039,Buses,17290.345792316122
A,Conservative,2040,Buses,16823.948532252834
A,Conservative,2041,Buses,16627.448523889834
A,Conservative,2042,Buses,16435.485676012882
A,Conservative,2043,Buses,16247.904638432441
A,Conservative,2044,Buses,16064.557073082608
A,Conservative,2045,Buses,15885.3012627984
A,Conservative,2046,Buses,15710.001745996684
A,Conservative,2047,Buses,15538.528975281572
A,Conservative,2048,Buses,15370.758998166108
A,Conservative,2049,Buses,15206.573158256568
A,Conservative,2050,Buses,15045.857815385514
A,Conservative,2025,Light Trucks,34619.99756962016
A,Conservative,2026,Light Trucks,32899.477384362974
A,Conservative,2027,Light Trucks,31340.70053931944
A,Conservative,2028,Light Trucks,29921.883122211722
A,Conservative,2029,Light Trucks,28624.985014005724
A,Conservative,2030,Light Trucks,27434.93875808711
A,Conservative,2031,Light Trucks,26710.624665210977
A,Conservative,2032,Light Trucks,26022.98734372613
A,Conservative,2033,Light Trucks,25369.30980500369
A,Conservative,2034,Light Trucks,24747.136956780312
A,Conservative,2035,Light Trucks,24154.2447897597
A,Conservative,2036,Light Trucks,23587.465783483192
A,Conservative,2037,Light Trucks,23046.161618688973
A,Conservative,2038,Light Trucks,22528.652530529227
A,Conservative,2039,Light Trucks,22033.403258893133
A,Conservative,2040,Light Trucks,21559.007836471148
A,Conservative,2041,Light Trucks,21353.858843883874
A,Conservative,2042,Light Trucks,21152.57732105343
A,Conservative,2043,Light Trucks,20955.05492488546
A,Conservative,2044,Light Trucks,20761.187321669717
