Model,Trim,Class,Origin,Price,Total Cost,Total Emission,CO2_abatement_cost,baseline_gasoline_cost_ntd_per_km,baseline_gasoline_emission_kg_per_km
Audi e-tron GT,quattro,Sedan,import,466.0,19.711,0.19,18.877524302039188,7.044813204638,0.25709665204347676
Audi Q8 e-tron,50,SUV,import,318.5,13.629,0.189,9.668884736298462,7.044813204638,0.25709665204347676
Audi Q8 e-tron,55,SUV,import,368.5,15.682,0.189,12.683717240382878,7.044813204638,0.25709665204347676
Audi Q8 e-tron,SQ8,SUV,import,426.5,18.157,0.224,33.57495731219187,7.044813204638,0.25709665204347676
Audi Q8 Sportback e-tron,50 quattri S line,SUV,import,345.5,14.725,0.185,10.652626131280801,7.044813204638,0.25709665204347676
Audi Q8 Sportback e-tron,50 quattro S line,SUV,import,388.5,16.491,0.185,13.10211573994535,7.044813204638,0.25709665204347676
Audi Q8 Sportback e-tron,SQ8,SUV,import,438.5,18.631,0.218,29.63472878055589,7.044813204638,0.25709665204347676
BMW i4,eDrive40,Sedan,import,270.0,11.573,0.152,4.308592811775549,7.044813204638,0.25709665204347676
BMW i4,M50,Sedan,import,325.0,13.873,0.165,7.414153113990036,7.044813204638,0.25709665204347676
BMW i5,eDrive40 M Sport,Sedan,import,329.0,13.999,0.156,6.878750833777702,7.044813204638,0.25709665204347676
BMW i5,M60 xDrive,Sedan,import,485.0,20.441,0.173,15.929512614172037,7.044813204638,0.25709665204347676
BMW i7,eDrive Excellent,Sedan,import,598.0,25.047,0.169,20.434586761001665,7.044813204638,0.25709665204347676
BMW iX,xDrive40,SUV,import,339.0,14.477,0.185,10.308643445579325,7.044813204638,0.25709665204347676
BMW iX,xDrive50,SUV,import,439.0,18.582,0.189,16.942370071286334,7.044813204638,0.25709665204347676
BMW iX,M60,SUV,import,638.0,26.812,0.211,42.88204439818813,7.044813204638,0.25709665204347676
BMW iX1,xDrive30,SUV,import,222.0,9.655,0.17,2.9968853384387852,7.044813204638,0.25709665204347676
BMW iX1,xDrive20,SUV,import,212.0,9.223,0.159,2.2204496789519594,7.044813204638,0.25709665204347676
Ford Mustang Mach-E,Select,SUV,import,189.9,8.349,0.175,1.5885992460098473,7.044813204638,0.25709665204347676
Ford Mustang Mach-E,Premium,SUV,import,230.9,10.059,0.186,4.239562213870176,7.044813204638,0.25709665204347676
Ford Mustang Mach-E,GT,SUV,import,249.9,10.888,0.204,7.238096278113936,7.044813204638,0.25709665204347676
Hyundai Ioniq 5,EV400,SUV,import,159.9,7.065,0.15,0.018849137649797943,7.044813204638,0.25709665204347676
Hyundai Ioniq 5,EV600,SUV,import,187.9,8.191,0.146,1.0317023729152968,7.044813204638,0.25709665204347676
