vehicle_technology_case,vehicle_technology_trajectory,charging_assumption_case,year,passenger_car_residential_energy_share,public_l2_utilization,public_dcfc_utilization,depot_utilization_of_12h_window,passenger_car_electricity_twh,light_truck_electricity_twh,bus_electricity_twh,heavy_truck_electricity_twh,required_passenger_car_l2_ports,required_passenger_car_dcfc_ports,required_light_truck_50kw_depot_chargers,required_bus_150kw_depot_chargers,required_heavy_truck_150kw_depot_chargers,required_total_chargers,cumulative_passenger_car_l2_investment_billion_ntd,cumulative_passenger_car_dcfc_investment_billion_ntd,cumulative_light_truck_depot_investment_billion_ntd,cumulative_bus_depot_investment_billion_ntd,cumulative_heavy_truck_depot_investment_billion_ntd,cumulative_total_investment_billion_ntd
Conservative,Static,Conservative,2025,0.3,0.1,0.05,0.2,0.2550209445875,0.015088479155085226,0.21269157780937498,0.0116281013625,21833.98498180651,2037.8385983019407,344.4858254585668,1618.6573653681505,88.4939220890411,25923.460693024208,2.7935790330996366,0.0,0.5118706856982407,1.835558789617597,0.3893904748072806,5.530398983222755
Conservative,Static,Conservative,2026,0.3,0.1,0.05,0.2,0.37790859138499994,0.03629453377944319,0.27430807488875,0.03381887214,32355.18761857876,3019.817511067351,828.6423237315797,2087.580478605403,257.3734561643836,38548.60138814749,4.85193414591237,1.7120605572453826,1.3944899350679325,4.395313000156421,1.1680911542765506,13.521888792658658
Conservative,Static,Conservative,2027,0.3,0.1,0.05,0.2,0.5389477953924999,0.06648868110807388,0.35659619076812493,0.06712221269249999,46142.79070141266,4306.660465465182,1518.0064179925541,2713.821847550418,510.8235364726027,55192.10296889342,7.520779502094026,4.324987702955943,2.6478577481090744,7.679262631616471,2.3361020384078097,24.508989623183325
Conservative,Static,Conservative,2028,0.3,0.1,0.05,0.2,0.7381385566099999,0.10567092114097729,0.45955592544749996,0.11153812302,63196.79423030821,5898.3674614954325,2412.5781082414906,3497.3814722031957,848.8441630136987,75853.96543526203,10.800115101644604,7.488712712683798,4.271974124821667,11.687407683997748,3.893423127201059,38.141632750348876
Conservative,Static,Conservative,2029,0.3,0.1,0.05,0.2,0.9754808750374998,0.15384125387815342,0.5831872789268749,0.1670666031225,83517.19820526538,7794.938499158103,3512.3573944783884,4438.259352563737,1271.4353357876712,100534.18878725327,14.689940944564098,11.203235586428944,6.26683906520571,16.419748157300255,5.840054420656297,54.4198181741553
Conservative,Static,Conservative,2030,0.3,0.1,0.05,0.2,1.250974750675,0.2109996793196023,0.72749025120625,0.233707653,107104.00262628424,9996.373578453196,4817.344276703249,5536.455488632039,1778.5970547945205,129232.77302486725,19.190257030852525,15.46855632419139,8.632452569261206,21.87628405152399,8.175995918773525,73.34354589460263
Conservative,Static,Conservative,2031,0.3,0.1,0.05,0.2,1.5836959621274995,0.27714619746532393,0.8717932234856249,0.3114612726525,135590.4077163955,12655.104720196914,6327.538754916071,6634.651624700342,2370.329320034247,163578.0321362431,24.60630848219432,20.560073857979763,11.368814636988152,27.33281994574772,10.901247621552743,94.76926454446269
Conservative,Static,Conservative,2032,0.3,0.1,0.05,0.2,1.973644509395,0.3522808083153182,1.0160961957649999,0.40032746208000003,168976.4134755993,15771.131924389269,8042.940829116855,7732.847760768645,3046.6321315068494,203569.96612138094,30.938095298589513,26.47778818779409,14.475925268386545,32.78935583997145,14.015809528993948,118.69697412373554
Conservative,Static,Conservative,2033,0.3,0.1,0.05,0.2,2.4208203924774994,0.43640351186958526,1.160399168044375,0.5003062212825,207262.0199038955,19344.455191030247,9963.5504993056,8831.043896836947,3807.505489212329,249208.57498028062,38.18561748003807,33.221699313634346,17.953784463456394,38.245891734195176,17.519681641097144,145.12667463242113
Conservative,Static,Conservative,2034,0.3,0.1,0.05,0.2,2.9252236113749994,0.529514308128125,1.3047021403237498,0.61139755026,250447.2270012842,23375.07452011986,12089.367765482308,9929.240032905249,4652.949393150685,300493.8587129423,46.348875026540014,40.79180723550054,21.80239222219769,43.7024276284189,21.412863957862328,174.05836607051947
