vehicle_technology_case,vehicle_technology_trajectory,charging_assumption_case,year,passenger_car_residential_energy_share,public_l2_utilization,public_dcfc_utilization,depot_utilization_of_12h_window,passenger_car_electricity_twh,light_truck_electricity_twh,bus_electricity_twh,heavy_truck_electricity_twh,required_passenger_car_l2_ports,required_passenger_car_dcfc_ports,required_light_truck_50kw_depot_chargers,required_bus_150kw_depot_chargers,required_heavy_truck_150kw_depot_chargers,required_total_chargers,cumulative_passenger_car_l2_investment_billion_ntd,cumulative_passenger_car_dcfc_investment_billion_ntd,cumulative_light_truck_depot_investment_billion_ntd,cumulative_bus_depot_investment_billion_ntd,cumulative_heavy_truck_depot_investment_billion_ntd,cumulative_total_investment_billion_ntd
Reference,ATB Baseline,Reference,2025,0.4,0.18,0.1,0.4,0.2550209445875,0.015088479155085226,0.21269157780937498,0.0116281013625,10397.135705622146,873.3593992722602,172.2429127292834,809.3286826840753,44.24696104452055,12296.313661352286,0.656031903380779,0.0,0.25593534284912034,0.7494650840509335,0.15898949495966266,1.8204218252404956
Reference,ATB Baseline,Reference,2026,0.4,0.18,0.1,0.4,0.37707167524671975,0.03621798346760343,0.2724258627681029,0.03358681812163273,15373.111352198295,1291.3413535846566,413.44729985848664,1036.6280927248968,127.80372192402105,18242.331820290354,1.6779840917258615,0.0,0.6956661610453716,1.7676981060382637,0.4736163569474239,4.614964715756921
Reference,ATB Baseline,Reference,2027,0.4,0.18,0.1,0.4,0.5365606884680374,0.06620821301866038,0.3517024983552234,0.06620107143666408,21875.43576598326,1837.536604342594,755.8015184778582,1338.2895675617326,251.90666452307488,26058.97012088852,2.985210864662271,0.0,1.31814437979491,3.0654693471112866,0.9406624324104985,8.309487023978967
Reference,ATB Baseline,Reference,2028,0.4,0.18,0.1,0.4,0.7332345130047748,0.10500229632698524,0.45009595894804527,0.10924210887078892,29893.77499204072,2511.0770993314204,1198.6563507646717,1712.693907717067,415.68534577925766,35731.887695633144,4.5757808060124106,1.3688952153620768,2.1221970572574156,4.636691992177779,1.5568555945708973,14.26042066538058
Reference,ATB Baseline,Reference,2029,0.4,0.18,0.1,0.4,0.9668396776102538,0.15254336191130724,0.5671807189238773,0.1624811779872021,39417.79507543435,3311.0947863364854,1741.3625788962015,2158.2219137133843,618.269322630145,47246.74367701056,6.44776249959868,3.102275150474128,3.10665125159257,6.475279226145517,2.318923716650631,21.450891844461523
Reference,ATB Baseline,Reference,2030,0.4,0.18,0.1,0.4,1.2371227110377965,0.20877453829035555,0.7025312526600284,0.2256895263490985,50437.16206122784,4236.721613143139,2383.270985049721,2673.254386073167,858.7881520133125,60589.19719750719,8.599224529243484,5.062593118465709,4.270334020960053,8.575144233922273,3.2235946718717106,29.73089057446323
Reference,ATB Baseline,Reference,2031,0.4,0.18,0.1,0.4,1.5657383043007038,0.27420949161136293,0.8401917848719268,0.30017118226969197,63834.731910498354,5362.117480481862,3130.2453380292573,3197.076806970802,1142.203889915114,76666.37542589538,11.195172674072143,7.38383381198658,5.623839436458102,10.708051984216553,4.289521577212985,39.20041948394637
Reference,ATB Baseline,Reference,2032,0.4,0.18,0.1,0.4,1.950740036599756,0.3485301594060382,0.9772923014895011,0.3850392791511823,79531.14956783089,6680.616563697795,3978.654787740162,3718.768270507995,1465.1418536955186,95374.33104347235,14.220775474227592,10.053954085632805,7.160607641220713,12.832949144338016,5.504018491559703,49.77230483697883
Reference,ATB Baseline,Reference,2033,0.4,0.18,0.1,0.4,2.3920822259844083,0.4317351792905818,1.1138328025127513,0.48022912796878325,97524.55259231933,8192.062417754823,4928.483781855957,4238.328776684746,1827.3558902921739,116710.78345890706,17.675684839504484,13.07267129015764,8.88061053685964,14.949835714286657,6.86616008841829,61.44496246922671
Reference,ATB Baseline,Reference,2034,0.4,0.18,0.1,0.4,2.889719190504117,0.5238231888811936,1.2498132879416777,0.5856760396977083,117813.0785430576,9896.298597616838,5979.716768050155,4755.758325501056,2228.599846642726,140673.4520808684,21.559552679697468,16.43970277631434,10.783820024986618,17.05871169406248,8.37502104129517,74.21680821635609
