technology,vehicle,powertrain,pathway,year,scenario,baseline_ntd_per_tco2,variable,low_input,high_input,low_result_ntd_per_tco2,high_result_ntd_per_tco2,left_edge_ntd_per_tco2,right_edge_ntd_per_tco2,range_width_ntd_per_tco2
Electric scooter,scooters,electric,,2050,Reference,10174.421543844328,Battery swapping cost,0.0316 USD/km,0.0429 USD/km,7708.529456470765,12640.313631217889,7708.529456470765,12640.313631217889,4931.784174747124
Electric scooter,scooters,electric,,2050,Reference,10174.421543844328,Grid carbon intensity,0.05 kgCO$_2$eq/kWh,0.20 kgCO$_2$eq/kWh,9658.893493738187,10918.05677319208,9658.893493738187,10918.05677319208,1259.1632794538928
Electric scooter,scooters,electric,,2050,Reference,10174.421543844328,Discount rate,3%,9%,12123.113309068645,8744.328289233326,8744.328289233326,12123.113309068645,3378.785019835319
Electric scooter,scooters,electric,,2050,Reference,10174.421543844328,Battery replacement,No replacement,1 replacement,10001.840991273917,10174.421543844328,10001.840991273917,10174.421543844328,172.58055257041087
Electric scooter,scooters,electric,,2050,Reference,10174.421543844328,Annual VKT,"5,120 km/yr","7,680 km/yr",10780.558708461567,9778.337025812432,9778.337025812432,10780.558708461567,1002.2216826491349
Electric scooter,scooters,electric,,2050,Reference,10174.421543844328,Vehicle ownership/lifetime,13 years,19 years,11291.390685145636,9259.537887444889,9259.537887444889,11291.390685145636,2031.852797700747
PHEV car,cars,phev,,2050,Reference,4873.727944316053,Electricity price,5.6 NT$/kWh,12.1 NT$/kWh,3504.90776039148,6242.548128240627,3504.90776039148,6242.548128240627,2737.640367849147
PHEV car,cars,phev,,2050,Reference,4873.727944316053,Gasoline price,28.8 NT$/L,32.3 NT$/L,5371.447154979889,4376.008733652219,4376.008733652219,5371.447154979889,995.4384213276699
PHEV car,cars,phev,,2050,Reference,4873.727944316053,Grid carbon intensity,0.05 kgCO$_2$eq/kWh,0.20 kgCO$_2$eq/kWh,4668.569594767618,5163.275810430043,4668.569594767618,5163.275810430043,494.70621566242517
PHEV car,cars,phev,,2050,Reference,4873.727944316053,PHEV utility factor,0.2,0.8,8005.341494845677,3299.9578047601153,3299.9578047601153,8005.341494845677,4705.383690085561
PHEV car,cars,phev,,2050,Reference,4873.727944316053,Battery replacement,No replacement,1 replacement,2753.7930727081452,4873.727944316053,2753.7930727081452,4873.727944316053,2119.934871607908
PHEV car,cars,phev,,2050,Reference,4873.727944316053,Battery salvage,0 NT$/kWh,841 NT$/kWh,4873.727944316053,4497.209970768562,4497.209970768562,4873.727944316053,376.51797354749124
PHEV car,cars,phev,,2050,Reference,4873.727944316053,Vehicle ownership/lifetime,13 years,19 years,6951.048400211253,3553.975105090271,3553.975105090271,6951.048400211253,3397.0732951209816
Electric car,cars,electric,,2050,Reference,4383.5531145922905,Electricity price,5.6 NT$/kWh,12.1 NT$/kWh,2155.590632641994,6611.5155965425865,2155.590632641994,6611.5155965425865,4455.924963900592
Electric car,cars,electric,,2050,Reference,4383.5531145922905,Grid carbon intensity,0.05 kgCO$_2$eq/kWh,0.20 kgCO$_2$eq/kWh,4090.9424175551776,4823.855241490268,4090.9424175551776,4823.855241490268,732.9128239350903
Electric car,cars,electric,,2050,Reference,4383.5531145922905,Discount rate,3%,9%,2849.220522870431,5468.489872798251,2849.220522870431,5468.489872798251,2619.26934992782
Electric car,cars,electric,,2050,Reference,4383.5531145922905,Battery replacement,No replacement,1 replacement,2900.314207934961,4383.5531145922905,2900.314207934961,4383.5531145922905,1483.2389066573296
Electric car,cars,electric,,2050,Reference,4383.5531145922905,Annual VKT,"9,743 km/yr","14,615 km/yr",7649.340311801888,2413.794597048956,2413.794597048956,7649.340311801888,5235.545714752932
Electric car,cars,electric,,2050,Reference,4383.5531145922905,Vehicle ownership/lifetime,13 years,19 years,6298.45342540115,3162.7114935684717,3162.7114935684717,6298.45342540115,3135.741931832678
Electric car,cars,electric,,2050,Reference,4383.5531145922905,Battery salvage,0 NT$/kWh,841 NT$/kWh,4383.5531145922905,3979.6376226814677,3979.6376226814677,4383.5531145922905,403.91549191082277
Electric light truck,trucks_light,electric,,2050,Reference,13911.486287119194,Electricity price,5.6 NT$/kWh,12.1 NT$/kWh,10200.443077411834,17622.52949682657,10200.443077411834,17622.52949682657,7422.086419414736
Electric light truck,trucks_light,electric,,2050,Reference,13911.486287119194,Grid carbon intensity,0.05 kgCO$_2$eq/kWh,0.20 kgCO$_2$eq/kWh,12430.522759560883,16405.738995962765,12430.522759560883,16405.738995962765,3975.2162364018823
Electric light truck,trucks_light,electric,,2050,Reference,13911.486287119194,Discount rate,3%,9%,13941.835572870896,13844.225239157237,13844.225239157237,13941.835572870896,97.6103337136592
Electric light truck,trucks_light,electric,,2050,Reference,13911.486287119194,Battery replacement,No replacement,1 replacement,12210.73343928082,13911.486287119194,12210.73343928082,13911.486287119194,1700.7528478383738
Electric light truck,trucks_light,electric,,2050,Reference,13911.486287119194,Annual VKT,"9,207 km/yr","13,811 km/yr",18227.10950049135,11259.006720914767,11259.006720914767,18227.10950049135,6968.102779576584
Electric light truck,trucks_light,electric,,2050,Reference,13911.486287119194,Vehicle ownership/lifetime,13 years,19 years,17243.34645506325,11618.710676750587,11618.710676750587,17243.34645506325,5624.635778312662
Electric light truck,trucks_light,electric,,2050,Reference,13911.486287119194,Battery salvage,0 NT$/kWh,841 NT$/kWh,13911.486287119194,13563.08049552076,13563.08049552076,13911.486287119194,348.405791598434
Electric bus,bus,electric,,2050,Reference,10619.831367390847,Electricity price,5.6 NT$/kWh,12.1 NT$/kWh,6416.741596426908,14822.921138354775,6416.741596426908,14822.921138354775,8406.179541927868
Electric bus,bus,electric,,2050,Reference,10619.831367390847,Grid carbon intensity,0.05 kgCO$_2$eq/kWh,0.20 kgCO$_2$eq/kWh,9357.207780500998,12828.884763082746,9357.207780500998,12828.884763082746,3471.6769825817482
Electric bus,bus,electric,,2050,Reference,10619.831367390847,Discount rate,3%,9%,11708.976067243422,9803.744269850351,9803.744269850351,11708.976067243422,1905.2317973930712
Electric bus,bus,electric,,2050,Reference,10619.831367390847,Battery replacement,No replacement,1 replacement,9506.457815284615,10619.831367390847,9506.457815284615,10619.831367390847,1113.3735521062317
Electric bus,bus,electric,,2050,Reference,10619.831367390847,Annual VKT,"47,034 km/yr","70,552 km/yr",12408.667412941302,9454.298884660491,9454.298884660491,12408.667412941302,2954.368528280811
Electric bus,bus,electric,,2050,Reference,10619.831367390847,Vehicle ownership/lifetime,13 years,19 years,12312.786082996825,9335.605688660411,9335.605688660411,12312.786082996825,2977.180394336414
Electric bus,bus,electric,,2050,Reference,10619.831367390847,Battery salvage,0 NT$/kWh,841 NT$/kWh,10619.831367390847,10382.549749155454,10382.549749155454,10619.831367390847,237.28161823539267
Electric heavy truck,trucks,electric,,2050,Reference,12202.67174107909,Electricity price,5.6 NT$/kWh,12.1 NT$/kWh,6135.435867049664,18269.907615108506,6135.435867049664,18269.907615108506,12134.471748058842
Electric heavy truck,trucks,electric,,2050,Reference,12202.67174107909,Grid carbon intensity,0.05 kgCO$_2$eq/kWh,0.20 kgCO$_2$eq/kWh,10213.300067479307,16239.152454361532,10213.300067479307,16239.152454361532,6025.852386882225
Electric heavy truck,trucks,electric,,2050,Reference,12202.67174107909,Discount rate,3%,9%,14608.66820982729,10431.733206766705,10431.733206766705,14608.66820982729,4176.935003060586
Electric heavy truck,trucks,electric,,2050,Reference,12202.67174107909,Battery replacement,No replacement,1 replacement,7539.45933377482,12202.67174107909,7539.45933377482,12202.67174107909,4663.21240730427
Electric heavy truck,trucks,electric,,2050,Reference,12202.67174107909,Annual VKT,"26,710 km/yr","40,066 km/yr",14957.701902130346,10571.891877567177,10571.891877567177,14957.701902130346,4385.810024563169
Electric heavy truck,trucks,electric,,2050,Reference,12202.67174107909,Vehicle ownership/lifetime,13 years,19 years,15012.443860228523,10350.750585944752,10350.750585944752,15012.443860228523,4661.693274283771
Electric heavy truck,trucks,electric,,2050,Reference,12202.67174107909,Battery salvage,0 NT$/kWh,841 NT$/kWh,12202.67174107909,11111.798895944354,11111.798895944354,12202.67174107909,1090.872845134736
Blue H$_2$ truck,trucks,hydrogen,blue,2050,Reference,23803.15296660058,Delivered H$_2$ price,202.5 NT$/kg,433.0 NT$/kg,16969.50828631711,39964.4732323805,16969.50828631711,39964.4732323805,22994.964946063392
Blue H$_2$ truck,trucks,hydrogen,blue,2050,Reference,23803.15296660058,H$_2$ carbon intensity,2.0 kgCO$_2$eq/kg,6.0 kgCO$_2$eq/kg,18089.002961945353,34794.37743644629,18089.002961945353,34794.37743644629,16705.374474500935
Blue H$_2$ truck,trucks,hydrogen,blue,2050,Reference,23803.15296660058,Discount rate,3%,9%,29152.56091456883,19880.787121703772,19880.787121703772,29152.56091456883,9271.773792865057
Blue H$_2$ truck,trucks,hydrogen,blue,2050,Reference,23803.15296660058,Battery replacement,No replacement,1 replacement,17426.409152986784,23803.15296660058,17426.409152986784,23803.15296660058,6376.743813613797
Blue H$_2$ truck,trucks,hydrogen,blue,2050,Reference,23803.15296660058,Annual VKT,"26,710 km/yr","40,066 km/yr",26684.24465531455,21966.35631746468,21966.35631746468,26684.24465531455,4717.888337849869
