scenario,year,nmc_pack_cost_usd_per_kwh,nmc_pack_cost_change_vs_2025_usd_per_kwh,effective_battery_inventory_per_scooter,battery_capacity_kwh,battery_lifetime_km,swap_cost_low_usd_per_km,swap_cost_high_usd_per_km,swap_cost_mid_usd_per_km
Conservative,2025,126.42857142857143,0.0,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2026,121.14285714285714,-5.285714285714292,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2027,115.85714285714286,-10.57142857142857,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2028,110.57142857142857,-15.857142857142861,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2029,105.28571428571428,-21.142857142857153,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2030,100.0,-26.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2031,99.0,-27.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2032,98.0,-28.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2033,97.0,-29.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2034,96.0,-30.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2035,95.0,-31.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2036,94.0,-32.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2037,93.0,-33.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2038,92.0,-34.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2039,91.0,-35.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2040,90.0,-36.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2041,89.0,-37.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2042,88.0,-38.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2043,87.0,-39.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2044,86.0,-40.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2045,85.0,-41.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2046,84.0,-42.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2047,83.0,-43.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2048,82.0,-44.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2049,81.0,-45.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Conservative,2050,80.0,-46.42857142857143,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Reference,2025,126.42857142857143,0.0,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Reference,2026,121.14285714285714,-5.285714285714292,2.2,1.3,64000.0,0.033457544642857134,0.04470754464285714,0.03908254464285714
Reference,2027,115.85714285714286,-10.57142857142857,2.2,1.3,64000.0,0.03322133928571428,0.044471339285714284,0.03884633928571428
Reference,2028,110.57142857142857,-15.857142857142861,2.2,1.3,64000.0,0.03298513392857142,0.044235133928571424,0.03861013392857142
Reference,2029,105.28571428571428,-21.142857142857153,2.2,1.3,64000.0,0.03274892857142857,0.04399892857142857,0.03837392857142857
Reference,2030,100.0,-26.42857142857143,2.2,1.3,64000.0,0.03251272321428571,0.04376272321428571,0.03813772321428571
Reference,2031,99.0,-27.42857142857143,2.2,1.3,64000.0,0.032468035714285706,0.04371803571428571,0.03809303571428571
Reference,2032,98.0,-28.42857142857143,2.2,1.3,64000.0,0.03242334821428571,0.043673348214285715,0.03804834821428571
Reference,2033,97.0,-29.42857142857143,2.2,1.3,64000.0,0.03237866071428571,0.043628660714285714,0.03800366071428571
Reference,2034,96.0,-30.42857142857143,2.2,1.3,64000.0,0.03233397321428571,0.04358397321428571,0.03795897321428571
Reference,2035,95.0,-31.42857142857143,2.2,1.3,64000.0,0.03228928571428571,0.04353928571428571,0.037914285714285706
Reference,2036,94.0,-32.42857142857143,2.2,1.3,64000.0,0.03224459821428571,0.04349459821428571,0.037869598214285705
Reference,2037,93.0,-33.42857142857143,2.2,1.3,64000.0,0.03219991071428571,0.04344991071428571,0.03782491071428571
Reference,2038,92.0,-34.42857142857143,2.2,1.3,64000.0,0.03215522321428571,0.043405223214285714,0.037780223214285716
Reference,2039,91.0,-35.42857142857143,2.2,1.3,64000.0,0.03211053571428571,0.04336053571428571,0.037735535714285715
Reference,2040,90.0,-36.42857142857143,2.2,1.3,64000.0,0.03206584821428571,0.04331584821428571,0.03769084821428571
Reference,2041,89.0,-37.42857142857143,2.2,1.3,64000.0,0.03202116071428571,0.04327116071428571,0.03764616071428571
Reference,2042,88.0,-38.42857142857143,2.2,1.3,64000.0,0.031976473214285706,0.04322647321428571,0.03760147321428571
Reference,2043,87.0,-39.42857142857143,2.2,1.3,64000.0,0.03193178571428571,0.043181785714285714,0.03755678571428571
Reference,2044,86.0,-40.42857142857143,2.2,1.3,64000.0,0.03188709821428571,0.04313709821428571,0.03751209821428571
Reference,2045,85.0,-41.42857142857143,2.2,1.3,64000.0,0.03184241071428571,0.04309241071428571,0.03746741071428571
Reference,2046,84.0,-42.42857142857143,2.2,1.3,64000.0,0.03179772321428571,0.04304772321428571,0.037422723214285705
Reference,2047,83.0,-43.42857142857143,2.2,1.3,64000.0,0.031753035714285706,0.04300303571428571,0.037378035714285704
Reference,2048,82.0,-44.42857142857143,2.2,1.3,64000.0,0.03170834821428571,0.042958348214285715,0.037333348214285716
Reference,2049,81.0,-45.42857142857143,2.2,1.3,64000.0,0.03166366071428571,0.04291366071428571,0.037288660714285715
Reference,2050,80.0,-46.42857142857143,2.2,1.3,64000.0,0.03161897321428571,0.04286897321428571,0.037243973214285714
Optimistic,2025,126.42857142857143,0.0,2.2,1.3,64000.0,0.033693749999999995,0.04494375,0.03931875
Optimistic,2026,121.14285714285714,-5.285714285714292,2.2,1.3,64000.0,0.033457544642857134,0.04470754464285714,0.03908254464285714
Optimistic,2027,115.85714285714286,-10.57142857142857,2.2,1.3,64000.0,0.03322133928571428,0.044471339285714284,0.03884633928571428
Optimistic,2028,110.57142857142857,-15.857142857142861,2.2,1.3,64000.0,0.03298513392857142,0.044235133928571424,0.03861013392857142
Optimistic,2029,105.28571428571428,-21.142857142857153,2.2,1.3,64000.0,0.03274892857142857,0.04399892857142857,0.03837392857142857
Optimistic,2030,100.0,-26.42857142857143,2.2,1.3,64000.0,0.03251272321428571,0.04376272321428571,0.03813772321428571
Optimistic,2031,99.0,-27.42857142857143,2.2,1.3,64000.0,0.032468035714285706,0.04371803571428571,0.03809303571428571
Optimistic,2032,98.0,-28.42857142857143,2.2,1.3,64000.0,0.03242334821428571,0.043673348214285715,0.03804834821428571
Optimistic,2033,97.0,-29.42857142857143,2.2,1.3,64000.0,0.03237866071428571,0.043628660714285714,0.03800366071428571
Optimistic,2034,96.0,-30.42857142857143,2.2,1.3,64000.0,0.03233397321428571,0.04358397321428571,0.03795897321428571
Optimistic,2035,95.0,-31.42857142857143,2.2,1.3,64000.0,0.03228928571428571,0.04353928571428571,0.037914285714285706
Optimistic,2036,94.0,-32.42857142857143,2.2,1.3,64000.0,0.03224459821428571,0.04349459821428571,0.037869598214285705
Optimistic,2037,93.0,-33.42857142857143,2.2,1.3,64000.0,0.03219991071428571,0.04344991071428571,0.03782491071428571
Optimistic,2038,92.0,-34.42857142857143,2.2,1.3,64000.0,0.03215522321428571,0.043405223214285714,0.037780223214285716
Optimistic,2039,91.0,-35.42857142857143,2.2,1.3,64000.0,0.03211053571428571,0.04336053571428571,0.037735535714285715
Optimistic,2040,90.0,-36.42857142857143,2.2,1.3,64000.0,0.03206584821428571,0.04331584821428571,0.03769084821428571
Optimistic,2041,89.0,-37.42857142857143,2.2,1.3,64000.0,0.03202116071428571,0.04327116071428571,0.03764616071428571
Optimistic,2042,88.0,-38.42857142857143,2.2,1.3,64000.0,0.031976473214285706,0.04322647321428571,0.03760147321428571
Optimistic,2043,87.0,-39.42857142857143,2.2,1.3,64000.0,0.03193178571428571,0.043181785714285714,0.03755678571428571
Optimistic,2044,86.0,-40.42857142857143,2.2,1.3,64000.0,0.03188709821428571,0.04313709821428571,0.03751209821428571
Optimistic,2045,85.0,-41.42857142857143,2.2,1.3,64000.0,0.03184241071428571,0.04309241071428571,0.03746741071428571
Optimistic,2046,84.0,-42.42857142857143,2.2,1.3,64000.0,0.03179772321428571,0.04304772321428571,0.037422723214285705
Optimistic,2047,83.0,-43.42857142857143,2.2,1.3,64000.0,0.031753035714285706,0.04300303571428571,0.037378035714285704
Optimistic,2048,82.0,-44.42857142857143,2.2,1.3,64000.0,0.03170834821428571,0.042958348214285715,0.037333348214285716
Optimistic,2049,81.0,-45.42857142857143,2.2,1.3,64000.0,0.03166366071428571,0.04291366071428571,0.037288660714285715
Optimistic,2050,80.0,-46.42857142857143,2.2,1.3,64000.0,0.03161897321428571,0.04286897321428571,0.037243973214285714
